"","lon","lat","ele","time"
"1",-61.3746039849,15.2909099031,"78.00","2017-04-01T00:50:14Z"
"2",-61.3746080082,15.290900683,"78.00","2017-04-01T00:50:24Z"
"3",-61.3745987881,15.290879393,"78.48","2017-04-01T00:50:34Z"
"4",-61.3745962735,15.2908763755,"80.89","2017-04-01T00:50:44Z"
"5",-61.3745973632,15.2908844221,"80.89","2017-04-01T00:50:54Z"
"6",-61.3745963573,15.2908897027,"80.89","2017-04-01T00:51:04Z"
"7",-61.3745916635,15.290877549,"80.89","2017-04-01T00:51:14Z"
"8",-61.3745929208,15.2908759564,"79.45","2017-04-01T00:51:17Z"
"9",-61.3745733071,15.2908829134,"78.97","2017-04-01T00:51:35Z"
"10",-61.3745899871,15.2908959892,"81.85","2017-04-01T00:52:05Z"
"11",-61.3745896518,15.2908959053,"81.85","2017-04-01T00:52:06Z"
"12",-61.3745910767,15.2908816561,"80.89","2017-04-01T00:52:33Z"
"13",-61.3745894842,15.2908778843,"84.73","2017-04-01T00:52:56Z"
"14",-61.3745883107,15.290878471,"84.73","2017-04-01T00:52:57Z"
"15",-61.3745952677,15.2908813208,"84.73","2017-04-01T00:53:39Z"
"16",-61.3745942619,15.2908820752,"84.73","2017-04-01T00:53:40Z"
"17",-61.3745906577,15.2908803988,"85.21","2017-04-01T00:53:48Z"
"18",-61.374589568,15.2908819076,"85.69","2017-04-01T00:54:00Z"
"19",-61.3745842036,15.2908870205,"85.69","2017-04-01T00:54:10Z"
"20",-61.3745813537,15.2908873558,"86.18","2017-04-01T00:54:20Z"
"21",-61.3745891489,15.2908806503,"86.66","2017-04-01T00:54:30Z"
"22",-61.3745857123,15.2908851765,"86.66","2017-04-01T00:54:40Z"
"23",-61.3745881431,15.2908902895,"87.14","2017-04-01T00:54:50Z"
"24",-61.3745887298,15.2908887807,"87.14","2017-04-01T00:55:00Z"
"25",-61.3745874725,15.2908924688,"87.62","2017-04-01T00:55:10Z"
"26",-61.3745862991,15.2908953186,"87.62","2017-04-01T00:55:20Z"
"27",-61.3745779172,15.2908851765,"87.14","2017-04-01T00:55:30Z"
"28",-61.3745730557,15.2908813208,"87.62","2017-04-01T00:55:40Z"
"29",-61.3745740615,15.2908684965,"86.18","2017-04-01T00:55:50Z"
"30",-61.3745771628,15.2908679936,"89.06","2017-04-01T00:56:00Z"
"31",-61.3745834492,15.2908753697,"89.06","2017-04-01T00:56:09Z"
"32",-61.3745635003,15.2908761241,"89.54","2017-04-01T00:56:19Z"
"33",-61.3745587226,15.2908457816,"90.02","2017-04-01T00:56:29Z"
"34",-61.3745473232,15.2908245753,"89.06","2017-04-01T00:56:39Z"
"35",-61.374529805,15.2908065543,"89.06","2017-04-01T00:56:49Z"
"36",-61.3745296374,15.2907979209,"89.06","2017-04-01T00:56:59Z"
"37",-61.3745401986,15.2907908801,"89.54","2017-04-01T00:57:09Z"
"38",-61.3745478261,15.2908039559,"89.06","2017-04-01T00:57:19Z"
"39",-61.3745516818,15.2908124216,"89.06","2017-04-01T00:57:29Z"
"40",-61.3745618239,15.2908228152,"90.02","2017-04-01T00:57:39Z"
"41",-61.3745706249,15.2908306103,"86.66","2017-04-01T00:57:49Z"
"42",-61.3745826948,15.2908434346,"90.02","2017-04-01T00:57:59Z"
"43",-61.3745540287,15.2908231504,"90.02","2017-04-01T00:58:09Z"
"44",-61.3745305594,15.2908009384,"90.50","2017-04-01T00:58:19Z"
"45",-61.3745254464,15.290789539,"90.50","2017-04-01T00:58:29Z"
"46",-61.374524273,15.2907934785,"90.98","2017-04-01T00:58:39Z"
"47",-61.3745380193,15.2907875273,"90.50","2017-04-01T00:58:49Z"
"48",-61.3745626621,15.2907938976,"90.98","2017-04-01T00:58:59Z"
"49",-61.374568278,15.2908132598,"91.94","2017-04-01T00:59:09Z"
"50",-61.3745827787,15.2908285987,"92.42","2017-04-01T00:59:19Z"
"51",-61.3745898195,15.2908297721,"92.42","2017-04-01T00:59:29Z"
"52",-61.3745800965,15.290822899,"92.90","2017-04-01T00:59:39Z"
"53",-61.3745561242,15.2908134274,"93.39","2017-04-01T00:59:49Z"
"54",-61.3745407015,15.2908067219,"93.87","2017-04-01T00:59:59Z"
"55",-61.3745498378,15.2908057999,"93.87","2017-04-01T01:00:09Z"
"56",-61.3745626621,15.2908171993,"94.35","2017-04-01T01:00:19Z"
"57",-61.3745501731,15.2908142656,"94.35","2017-04-01T01:00:29Z"
"58",-61.3745326549,15.2908178698,"94.83","2017-04-01T01:00:39Z"
"59",-61.3745115325,15.2908061352,"94.83","2017-04-01T01:00:49Z"
"60",-61.3745027315,15.2908026986,"95.31","2017-04-01T01:00:59Z"
"61",-61.3744977023,15.2908028662,"95.79","2017-04-01T01:01:09Z"
"62",-61.3745017257,15.2907990105,"95.79","2017-04-01T01:01:19Z"
"63",-61.3745343313,15.2908148523,"96.27","2017-04-01T01:01:29Z"
"64",-61.3745469041,15.2908273414,"96.75","2017-04-01T01:01:39Z"
"65",-61.3745503407,15.2908254974,"96.75","2017-04-01T01:01:49Z"
"66",-61.3745462336,15.290817786,"97.23","2017-04-01T01:01:59Z"
"67",-61.3745830301,15.2908270899,"97.23","2017-04-01T01:02:09Z"
"68",-61.3745625783,15.2908375673,"97.23","2017-04-01T01:02:19Z"
"69",-61.3745717146,15.2908393275,"97.71","2017-04-01T01:02:29Z"
"70",-61.3745604828,15.2908327058,"97.23","2017-04-01T01:02:39Z"
"71",-61.3745660987,15.2908263355,"96.75","2017-04-01T01:02:49Z"
"72",-61.3745610695,15.2908297721,"97.23","2017-04-01T01:02:59Z"
"73",-61.3745769951,15.2908263355,"97.23","2017-04-01T01:03:09Z"
"74",-61.374594681,15.2908291016,"98.19","2017-04-01T01:03:19Z"
"75",-61.3746127859,15.290828431,"98.19","2017-04-01T01:03:29Z"
"76",-61.3746146299,15.2908208873,"98.19","2017-04-01T01:03:39Z"
"77",-61.3745930884,15.2908216417,"98.67","2017-04-01T01:03:49Z"
"78",-61.3745809346,15.2908185404,"99.15","2017-04-01T01:03:59Z"
"79",-61.3745780848,15.2908129245,"98.67","2017-04-01T01:04:09Z"
"80",-61.374572888,15.2908151876,"99.15","2017-04-01T01:04:19Z"
"81",-61.3746059127,15.2908271737,"100.11","2017-04-01T01:04:29Z"
"82",-61.374629885,15.290827509,"99.63","2017-04-01T01:04:39Z"
"83",-61.3746233471,15.2908237372,"100.60","2017-04-01T01:04:49Z"
"84",-61.3745874725,15.2908387408,"100.60","2017-04-01T01:04:59Z"
"85",-61.3745793421,15.2908249106,"101.08","2017-04-01T01:05:09Z"
"86",-61.3745723013,15.2908239886,"101.08","2017-04-01T01:05:19Z"
"87",-61.3745584711,15.290812254,"100.60","2017-04-01T01:05:29Z"
"88",-61.3745733909,15.2908200491,"101.08","2017-04-01T01:05:39Z"
"89",-61.374561321,15.2908157744,"101.56","2017-04-01T01:05:49Z"
"90",-61.3745676912,15.2908182889,"102.04","2017-04-01T01:05:59Z"
"91",-61.3745582197,15.2908239048,"102.04","2017-04-01T01:06:09Z"
"92",-61.3745462336,15.2908438537,"102.52","2017-04-01T01:06:19Z"
"93",-61.3745507598,15.2908544149,"103.00","2017-04-01T01:06:29Z"
"94",-61.3746116962,15.2908681612,"103.00","2017-04-01T01:06:39Z"
"95",-61.3746279571,15.2908588573,"103.00","2017-04-01T01:06:49Z"
"96",-61.374584455,15.290851146,"103.96","2017-04-01T01:06:59Z"
"97",-61.374578001,15.2908477932,"103.48","2017-04-01T01:07:09Z"
"98",-61.3745997939,15.2908498049,"103.96","2017-04-01T01:07:19Z"
"99",-61.3746096008,15.2908593602,"103.00","2017-04-01T01:07:29Z"
"100",-61.3745867182,15.2908514813,"103.96","2017-04-01T01:07:39Z"
"101",-61.3746104389,15.2908532415,"104.44","2017-04-01T01:07:49Z"
"102",-61.3746016379,15.2908490505,"104.44","2017-04-01T01:07:59Z"
"103",-61.3745979499,15.2908508945,"104.92","2017-04-01T01:08:09Z"
"104",-61.3745984528,15.2908664849,"104.92","2017-04-01T01:08:19Z"
"105",-61.3745878916,15.2908531576,"105.40","2017-04-01T01:08:29Z"
"106",-61.3745841198,15.2908464521,"105.40","2017-04-01T01:08:39Z"
"107",-61.3745706249,15.2908311132,"105.40","2017-04-01T01:08:49Z"
"108",-61.3745856285,15.2908456139,"105.88","2017-04-01T01:08:59Z"
"109",-61.3745774142,15.2908400819,"105.88","2017-04-01T01:09:09Z"
"110",-61.3745964412,15.2908352204,"106.36","2017-04-01T01:09:19Z"
"111",-61.3745968603,15.2908467874,"106.36","2017-04-01T01:09:29Z"
"112",-61.3745899033,15.2908573486,"106.84","2017-04-01T01:09:39Z"
"113",-61.3745987881,15.290866401,"106.84","2017-04-01T01:09:49Z"
"114",-61.3745982852,15.2908632997,"106.84","2017-04-01T01:09:59Z"
"115",-61.3745999616,15.2908743639,"107.32","2017-04-01T01:10:09Z"
"116",-61.3745805155,15.2908651438,"107.32","2017-04-01T01:10:19Z"
"117",-61.3745949324,15.2908776328,"107.81","2017-04-01T01:10:29Z"
"118",-61.3746269513,15.2908823267,"107.81","2017-04-01T01:10:39Z"
"119",-61.3746308908,15.2908704244,"107.81","2017-04-01T01:10:49Z"
"120",-61.374624772,15.2908877749,"108.29","2017-04-01T01:10:59Z"
"121",-61.3746100198,15.2908781357,"108.29","2017-04-01T01:11:09Z"
"122",-61.3745938428,15.2908740286,"108.77","2017-04-01T01:11:19Z"
"123",-61.3745978661,15.2908588573,"108.77","2017-04-01T01:11:29Z"
"124",-61.3746047392,15.2908752859,"109.25","2017-04-01T01:11:39Z"
"125",-61.3745819405,15.2908489667,"109.25","2017-04-01T01:11:49Z"
"126",-61.3746023923,15.2908554208,"109.73","2017-04-01T01:11:59Z"
"127",-61.374602979,15.290863635,"109.73","2017-04-01T01:12:09Z"
"128",-61.3746200781,15.290861791,"109.73","2017-04-01T01:12:19Z"
"129",-61.3746177312,15.2908466198,"110.21","2017-04-01T01:12:29Z"
"130",-61.374618737,15.2908404171,"110.69","2017-04-01T01:12:39Z"
"131",-61.3746127859,15.2908311132,"110.69","2017-04-01T01:12:49Z"
"132",-61.3745902386,15.2908337954,"111.17","2017-04-01T01:12:59Z"
"133",-61.3745838683,15.2908355556,"111.17","2017-04-01T01:13:09Z"
"134",-61.3746039011,15.2908345498,"111.17","2017-04-01T01:13:19Z"
"135",-61.3746191561,15.29083631,"111.65","2017-04-01T01:13:29Z"
"136",-61.3746225089,15.290851146,"111.65","2017-04-01T01:13:39Z"
"137",-61.3746313937,15.2908546664,"111.65","2017-04-01T01:13:49Z"
"138",-61.3746241853,15.2908532415,"112.13","2017-04-01T01:13:59Z"
"139",-61.37462385,15.290859025,"112.13","2017-04-01T01:14:09Z"
"140",-61.3746213354,15.2908648923,"112.61","2017-04-01T01:14:19Z"
"141",-61.374624772,15.2908560075,"112.61","2017-04-01T01:14:29Z"
"142",-61.3746180665,15.2908514813,"112.61","2017-04-01T01:14:39Z"
"143",-61.3746118639,15.2908434346,"113.09","2017-04-01T01:14:49Z"
"144",-61.3745769113,15.2908315323,"113.09","2017-04-01T01:14:59Z"
"145",-61.3745733909,15.2908358909,"113.09","2017-04-01T01:15:09Z"
"146",-61.3745777495,15.2908436861,"113.09","2017-04-01T01:15:19Z"
"147",-61.3745915797,15.2908593602,"113.57","2017-04-01T01:15:29Z"
"148",-61.3746001292,15.2908647247,"113.09","2017-04-01T01:15:39Z"
"149",-61.3746105228,15.2908544149,"113.09","2017-04-01T01:15:49Z"
"150",-61.3745987043,15.2908243239,"113.09","2017-04-01T01:15:59Z"
"151",-61.374578001,15.2908151876,"113.57","2017-04-01T01:16:09Z"
"152",-61.3745557889,15.2908093203,"113.57","2017-04-01T01:16:19Z"
"153",-61.3745768275,15.2908213902,"113.57","2017-04-01T01:16:29Z"
"154",-61.3745785877,15.2908257488,"114.05","2017-04-01T01:16:39Z"
"155",-61.3745834492,15.2908338793,"114.05","2017-04-01T01:16:49Z"
"156",-61.3745967764,15.2908466198,"114.05","2017-04-01T01:16:59Z"
"157",-61.374604404,15.2908488829,"114.53","2017-04-01T01:17:09Z"
"158",-61.3745976146,15.2908397466,"114.53","2017-04-01T01:17:19Z"
"159",-61.3745671045,15.2908416744,"114.05","2017-04-01T01:17:29Z"
"160",-61.3745639194,15.2907950711,"114.05","2017-04-01T01:17:39Z"
"161",-61.3745788392,15.2907930594,"114.53","2017-04-01T01:17:49Z"
"162",-61.3745882269,15.2908015251,"115.01","2017-04-01T01:17:59Z"
"163",-61.374589568,15.2908036206,"115.50","2017-04-01T01:18:09Z"
"164",-61.3745857123,15.2908083983,"115.50","2017-04-01T01:18:19Z"
"165",-61.374582611,15.2908026986,"115.50","2017-04-01T01:18:29Z"
"166",-61.3745407015,15.2907951549,"115.01","2017-04-01T01:18:39Z"
"167",-61.3745629974,15.2907840069,"115.01","2017-04-01T01:18:49Z"
"168",-61.3745624106,15.2907873597,"115.50","2017-04-01T01:18:59Z"
"169",-61.3745493349,15.2908051293,"114.53","2017-04-01T01:19:09Z"
"170",-61.3745517656,15.290821055,"115.01","2017-04-01T01:19:19Z"
"171",-61.3745743129,15.2908291016,"114.53","2017-04-01T01:19:29Z"
"172",-61.3745656796,15.2908193786,"114.53","2017-04-01T01:19:39Z"
"173",-61.3745453116,15.2908211388,"115.01","2017-04-01T01:19:49Z"
"174",-61.3745529391,15.2908451948,"115.01","2017-04-01T01:19:59Z"
"175",-61.374566434,15.2908384055,"115.01","2017-04-01T01:20:09Z"
"176",-61.3745614048,15.2908301074,"115.50","2017-04-01T01:20:19Z"
"177",-61.3745632488,15.2908348851,"115.50","2017-04-01T01:20:29Z"
"178",-61.3745697029,15.2908497211,"115.50","2017-04-01T01:20:39Z"
"179",-61.3745569624,15.2908700053,"115.50","2017-04-01T01:20:49Z"
"180",-61.3745436352,15.2908397466,"115.98","2017-04-01T01:20:59Z"
"181",-61.3745448086,15.2908223961,"115.98","2017-04-01T01:21:09Z"
"182",-61.374554364,15.2908337954,"116.46","2017-04-01T01:21:19Z"
"183",-61.3745536935,15.2908408362,"116.94","2017-04-01T01:21:29Z"
"184",-61.3745484129,15.2908622101,"116.94","2017-04-01T01:21:39Z"
"185",-61.3745591417,15.2908340469,"116.94","2017-04-01T01:21:49Z"
"186",-61.3745422103,15.2908009384,"116.94","2017-04-01T01:21:59Z"
"187",-61.3745370135,15.2907890361,"117.42","2017-04-01T01:22:09Z"
"188",-61.3745342474,15.2907769661,"117.42","2017-04-01T01:22:19Z"
"189",-61.3745351695,15.2907695062,"117.90","2017-04-01T01:22:29Z"
"190",-61.3745577168,15.290803872,"117.90","2017-04-01T01:22:39Z"
"191",-61.3745458145,15.290820552,"117.90","2017-04-01T01:22:49Z"
"192",-61.3745407853,15.2908234019,"117.90","2017-04-01T01:22:59Z"
"193",-61.3745540287,15.2908263355,"117.42","2017-04-01T01:23:09Z"
"194",-61.3745625783,15.290825665,"117.90","2017-04-01T01:23:19Z"
"195",-61.374570122,15.290812254,"117.90","2017-04-01T01:23:29Z"
"196",-61.3745684456,15.290811751,"118.38","2017-04-01T01:23:39Z"
"197",-61.3745612372,15.2907952387,"118.38","2017-04-01T01:23:49Z"
"198",-61.3745237701,15.2908243239,"118.38","2017-04-01T01:23:59Z"
"199",-61.3745416235,15.2907796483,"118.38","2017-04-01T01:24:09Z"
"200",-61.374533996,15.2907914668,"118.86","2017-04-01T01:24:19Z"
"201",-61.3745348342,15.2908084821,"118.86","2017-04-01T01:24:29Z"
"202",-61.3745359238,15.2908190433,"118.86","2017-04-01T01:24:39Z"
"203",-61.374536762,15.2908254135,"118.86","2017-04-01T01:24:49Z"
"204",-61.3745352533,15.2908269223,"118.86","2017-04-01T01:24:59Z"
"205",-61.3745479099,15.2908240724,"118.38","2017-04-01T01:25:09Z"
"206",-61.3745685294,15.2908320352,"118.86","2017-04-01T01:25:19Z"
"207",-61.3745521847,15.2908208035,"118.38","2017-04-01T01:25:29Z"
"208",-61.3745548669,15.2908301912,"119.34","2017-04-01T01:25:39Z"
"209",-61.374562243,15.2908223122,"117.42","2017-04-01T01:25:49Z"
"210",-61.3745407015,15.2908073086,"118.86","2017-04-01T01:25:59Z"
"211",-61.3745354209,15.2908059675,"118.38","2017-04-01T01:26:09Z"
"212",-61.3745333254,15.2908001002,"118.38","2017-04-01T01:26:19Z"
"213",-61.3745592255,15.2908101585,"118.86","2017-04-01T01:26:29Z"
"214",-61.3745596446,15.2908134274,"118.38","2017-04-01T01:26:39Z"
"215",-61.374574732,15.2908171993,"118.38","2017-04-01T01:26:49Z"
"216",-61.3745720498,15.2908192948,"118.86","2017-04-01T01:26:59Z"
"217",-61.3745607343,15.2908158582,"117.90","2017-04-01T01:27:09Z"
"218",-61.3745788392,15.2908295207,"118.86","2017-04-01T01:27:19Z"
"219",-61.3745888975,15.2908356395,"118.86","2017-04-01T01:27:29Z"
"220",-61.3745765761,15.2908281796,"118.38","2017-04-01T01:27:39Z"
"221",-61.3745750673,15.29081502,"118.86","2017-04-01T01:27:49Z"
"222",-61.3745801803,15.2908290178,"118.38","2017-04-01T01:27:59Z"
"223",-61.3745925017,15.290833544,"118.86","2017-04-01T01:28:09Z"
"224",-61.3745723851,15.290821055,"118.86","2017-04-01T01:28:19Z"
"225",-61.3745685294,15.2908415068,"117.90","2017-04-01T01:28:29Z"
"226",-61.3745811861,15.2908517327,"119.82","2017-04-01T01:28:39Z"
"227",-61.3745688647,15.2908707596,"119.82","2017-04-01T01:28:49Z"
"228",-61.3745707925,15.2908612043,"119.82","2017-04-01T01:28:59Z"
"229",-61.3745614048,15.2908424288,"119.82","2017-04-01T01:29:09Z"
"230",-61.374566434,15.29081963,"120.30","2017-04-01T01:29:19Z"
"231",-61.3745560404,15.2908270061,"120.30","2017-04-01T01:29:29Z"
"232",-61.3745453954,15.2908197138,"120.78","2017-04-01T01:29:39Z"
"233",-61.3745290507,15.2908230666,"120.78","2017-04-01T01:29:49Z"
"234",-61.3745217584,15.2908300236,"121.26","2017-04-01T01:29:59Z"
"235",-61.374520082,15.2908439375,"121.26","2017-04-01T01:30:09Z"
"236",-61.3745473232,15.2908365615,"121.74","2017-04-01T01:30:19Z"
"237",-61.3745115325,15.2908517327,"121.74","2017-04-01T01:30:29Z"
"238",-61.3745158073,15.2908211388,"121.74","2017-04-01T01:30:39Z"
"239",-61.3745236024,15.2908094041,"121.74","2017-04-01T01:30:49Z"
"240",-61.3745096046,15.2908167802,"121.74","2017-04-01T01:30:59Z"
"241",-61.3745137956,15.2908321191,"121.74","2017-04-01T01:31:09Z"
"242",-61.374536762,15.2908278443,"121.74","2017-04-01T01:31:19Z"
"243",-61.3745563757,15.2908351365,"122.22","2017-04-01T01:31:29Z"
"244",-61.3744985405,15.2908674069,"122.22","2017-04-01T01:31:39Z"
"245",-61.3744947687,15.2908741124,"122.22","2017-04-01T01:31:49Z"
"246",-61.3744974509,15.2908617072,"122.22","2017-04-01T01:31:59Z"
"247",-61.3745018095,15.2908648923,"122.22","2017-04-01T01:32:09Z"
"248",-61.374496948,15.2908656467,"122.22","2017-04-01T01:32:19Z"
"249",-61.3744829502,15.290852068,"122.22","2017-04-01T01:32:29Z"
"250",-61.3744946849,15.2908517327,"122.22","2017-04-01T01:32:39Z"
"251",-61.3744724728,15.290858103,"122.71","2017-04-01T01:32:49Z"
"252",-61.3744650967,15.2908593602,"122.22","2017-04-01T01:32:59Z"
"253",-61.3744836207,15.2908689156,"122.71","2017-04-01T01:33:09Z"
"254",-61.3745120354,15.2908764593,"122.71","2017-04-01T01:33:19Z"
"255",-61.3745295536,15.290887272,"122.71","2017-04-01T01:33:29Z"
"256",-61.3745605666,15.2908397466,"122.71","2017-04-01T01:33:39Z"
"257",-61.3745310623,15.2908251621,"122.71","2017-04-01T01:33:49Z"
"258",-61.3745280448,15.2908124216,"122.71","2017-04-01T01:33:59Z"
"259",-61.3745291345,15.2908004355,"122.71","2017-04-01T01:34:09Z"
"260",-61.3745430484,15.2908156905,"122.22","2017-04-01T01:34:19Z"
"261",-61.3745332416,15.2908177022,"122.71","2017-04-01T01:34:29Z"
"262",-61.374522429,15.2908375673,"122.71","2017-04-01T01:34:39Z"
"263",-61.3744986244,15.290848799,"123.19","2017-04-01T01:34:49Z"
"264",-61.3744800165,15.2908600308,"123.19","2017-04-01T01:34:59Z"
"265",-61.3744682819,15.2908513974,"123.67","2017-04-01T01:35:09Z"
"266",-61.3744866382,15.29084838,"123.67","2017-04-01T01:35:19Z"
"267",-61.3745267875,15.2908573486,"123.67","2017-04-01T01:35:29Z"
"268",-61.3745601475,15.290866401,"123.67","2017-04-01T01:35:39Z"
"269",-61.3745505083,15.2908653114,"123.67","2017-04-01T01:35:49Z"
"270",-61.3746172283,15.2908623777,"123.67","2017-04-01T01:35:59Z"
"271",-61.3745848741,15.2908589412,"124.15","2017-04-01T01:36:09Z"
"272",-61.3745626621,15.2908448596,"124.15","2017-04-01T01:36:19Z"
"273",-61.3745204173,15.290861791,"124.15","2017-04-01T01:36:29Z"
"274",-61.374486303,15.2908736933,"124.15","2017-04-01T01:36:39Z"
"275",-61.37453584,15.2908396628,"117.90","2017-04-01T01:36:49Z"
"276",-61.3745531905,15.2908391599,"124.15","2017-04-01T01:36:59Z"
"277",-61.374584455,15.2908265032,"124.63","2017-04-01T01:37:09Z"
"278",-61.3745825272,15.2908189595,"124.63","2017-04-01T01:37:19Z"
"279",-61.3745891489,15.2908153553,"124.63","2017-04-01T01:37:29Z"
"280",-61.3745883107,15.2908109128,"124.63","2017-04-01T01:37:39Z"
"281",-61.3745646738,15.2908169478,"125.11","2017-04-01T01:37:49Z"
"282",-61.374536762,15.2908156905,"125.11","2017-04-01T01:37:59Z"
"283",-61.3745422103,15.2908139303,"125.11","2017-04-01T01:38:09Z"
"284",-61.3745591417,15.2908225637,"125.11","2017-04-01T01:38:19Z"
"285",-61.3745442219,15.2908207197,"125.11","2017-04-01T01:38:29Z"
"286",-61.3745469879,15.290810829,"125.11","2017-04-01T01:38:39Z"
"287",-61.3745502569,15.2908180375,"125.11","2017-04-01T01:38:49Z"
"288",-61.3745672721,15.2908220608,"125.11","2017-04-01T01:38:59Z"
"289",-61.3745451439,15.2908190433,"125.11","2017-04-01T01:39:09Z"
"290",-61.3745474909,15.2908169478,"123.67","2017-04-01T01:39:19Z"
"291",-61.3745495863,15.290822899,"125.59","2017-04-01T01:39:29Z"
"292",-61.3745768275,15.2908317838,"125.59","2017-04-01T01:39:39Z"
"293",-61.3745771628,15.290837232,"126.07","2017-04-01T01:39:49Z"
"294",-61.374576157,15.2908404171,"126.07","2017-04-01T01:39:59Z"
"295",-61.3745900709,15.2908434346,"126.07","2017-04-01T01:40:09Z"
"296",-61.374602979,15.2908611204,"126.55","2017-04-01T01:40:19Z"
"297",-61.3746110257,15.2908834163,"126.55","2017-04-01T01:40:29Z"
"298",-61.3746128697,15.290908562,"127.03","2017-04-01T01:40:39Z"
"299",-61.3746245205,15.2909110766,"127.03","2017-04-01T01:40:49Z"
"300",-61.3746302202,15.2909287624,"127.03","2017-04-01T01:40:59Z"
"301",-61.3746318966,15.2909450233,"127.03","2017-04-01T01:41:09Z"
"302",-61.3746334054,15.2909451071,"127.51","2017-04-01T01:41:19Z"
"303",-61.3746290468,15.29094561,"127.51","2017-04-01T01:41:29Z"
"304",-61.3746266998,15.2909327019,"127.51","2017-04-01T01:41:39Z"
"305",-61.3746295497,15.2909222245,"127.51","2017-04-01T01:41:49Z"
"306",-61.3746286277,15.2909029461,"127.51","2017-04-01T01:41:59Z"
"307",-61.3746289629,15.2908804826,"127.99","2017-04-01T01:42:09Z"
"308",-61.3746173959,15.2908785548,"127.99","2017-04-01T01:42:19Z"
"309",-61.3746068347,15.2908824943,"127.99","2017-04-01T01:42:29Z"
"310",-61.3746019732,15.2908760402,"127.99","2017-04-01T01:42:39Z"
"311",-61.3745947648,15.290875202,"127.99","2017-04-01T01:42:49Z"
"312",-61.3746010512,15.2908869367,"127.99","2017-04-01T01:42:59Z"
"313",-61.3746021409,15.2908891998,"128.47","2017-04-01T01:43:09Z"
"314",-61.3746040687,15.2908965759,"128.47","2017-04-01T01:43:19Z"
"315",-61.3746013027,15.2908809017,"128.47","2017-04-01T01:43:29Z"
"316",-61.3745880593,15.2908609528,"128.47","2017-04-01T01:43:39Z"
"317",-61.3745890651,15.290852068,"128.47","2017-04-01T01:43:49Z"
"318",-61.3745635003,15.290876627,"128.47","2017-04-01T01:43:59Z"
"319",-61.3745452277,15.2908649761,"128.47","2017-04-01T01:44:09Z"
"320",-61.3745443895,15.2908573486,"128.47","2017-04-01T01:44:19Z"
"321",-61.3745480776,15.2908684965,"128.47","2017-04-01T01:44:29Z"
"322",-61.3745978661,15.2908601146,"128.47","2017-04-01T01:44:39Z"
"323",-61.3745997939,15.2908647247,"128.95","2017-04-01T01:44:49Z"
"324",-61.3745890651,15.2908798121,"128.95","2017-04-01T01:44:59Z"
"325",-61.3746016379,15.2908808179,"128.95","2017-04-01T01:45:09Z"
"326",-61.3745908253,15.2908778843,"128.95","2017-04-01T01:45:19Z"
"327",-61.3745769113,15.2908564266,"128.95","2017-04-01T01:45:29Z"
"328",-61.3745717146,15.2908481285,"128.95","2017-04-01T01:45:39Z"
"329",-61.3745801803,15.2908517327,"129.43","2017-04-01T01:45:49Z"
"330",-61.3745821919,15.2908699214,"129.43","2017-04-01T01:45:59Z"
